,Description,Recognition,Symptoms,Similar Conditions,Treatment,Advice/ Prevention
Arthritis and Joint pain (Cats and Dogs),"Arthritis, which is also know as a Degenerative Joint Disease is one of the most common conditions which affects middle aged to senior dogs and cats. Cartilage is found lining the joints where it acts as a protective barrier. Unstable joint moves in an abnormal manner, eroding the cartilage faster than it can be replaced and eventually bones end up rubbing against each other leading mainly to inflammation and pain.","Degenerative Joint Disease has a very negative impact on the animal’s quality of life. The first signs that one can notice is that the cat or dog is very slow and not showing interest in daily activities such as walking up the stairs. This is because the pet is uncomfortable to move since it is painful. For cats it may be a little more difficult to recognise since they spend a lot of time sleeping, however defecating outside the litter box or excessive grooming could be some crucial signs.","Reluctant to walk, jump and run ;Limping ;Slowing down ;Urinating or defecating outside the litter box (a very useful sign for cats) ;Grooming excessively in one area (indicating focal arthritis pain) ;Trouble jumping ;Cats shows aggressive behaviour whilst dogs whimper when touched in the area ;Social desolation ;Lying down more often ;Stiffness ;Pain ;Inflammation",;Ageing ;Serious illness ;Trauma or Accidents ;Infection (septic arthritis),"Non-steroidal Anti-Inflammatory Agents; carprofen, robenacoxib ;Steroids; prednisolone Arthritis is not curable however preventing further erosion is paramount, since it limits the chance of needing surgery in the future.","It is important to stipulate to the correct dosing and not try to adjust it to provide more pain relief. ;Be careful when purchasing any over-the-counter medication. ;Supplement your pet’s diet with omega 3 and 6 fatty acids, glucosamine and chondroitin ;Large breed dogs* are more prone to arthritis, thus it is important to maintain a healthy diet from the start. Provide specifically designed food so that growth takes place at an appropriate rate, since if it occurs too quickly joints might form in an abnormal manner eventually leading to joint disease. ;Certain cat breeds are also more prone to Degenerative Joint Disease, such as Himalayan, Siamese and Persian. ;Arthritis can be prevented by maintaining your pet with a healthy weight. *Golden retrievers, Rottweilers, Labrador retrievers, German shepherds"
Cat flu,"As it can be noted from the nomenclature, this is solely a feline disease. Cat flu is a viral disease and the main strains responsible are the calici, herpes and rhinotracheitis virus. These species are specific meaning that they only transfer the disease from cat to cat. The disease is transmitted through aerosol droplet from secretions (while sneezing) left in the environment. Kittens are more susceptible to the infection since their immune system is not yet completely developed and thus weak.","When a cat is seriously unwell, there is no need of a microbiological diagnosis since manifestations of cat flu symptoms are obvious. However, when unsure or when a stray cat is to be vaccinated, a swab of saliva should be taken for microbiological testing of the virus.","The disease affects the upper respiratory tract; nose, mouth, throat and eyes. ;Sore gums, tongue and eyes (in kittens sore eyes may lead to corneal ulcers) ;Purulent discharge from the eyes and nose (in kittens discharge may cause eyelids to stick together) ;Fever ;Sneezing ;Cough ;Excessive salivation ;Loss of appetite (due to the sore tongue and congestion)",;Common cold ;Viral infections,"No cure is available since it is a viral disease. ;Cat flu vaccine is available for prevention. ;Antibiotics; to prevent secondary bacterial infection, such as pneumonia, due to the weak immune response.","Since there is no cure, the cat’s immune system should fight the disease and this may take up to 2 weeks to resolve. ;It is very important to nurse and support your cat through the disease by cleaning discharge from its nose and eyes. ;Keep your cat warm, well hydrated and hand feeding may support more intake. ;There are many similarities to the symptoms of human flu, but don’t worry humans cannot get the flu. ;Following handling of an infected cat, it is important to wash hands properly and, if possible, change clothes before handling any healthy cats. ;The cat flu vaccine can be given to healthy cats so as to prevent infection and to avoid transmission of the virus to other cats."
Dental disease (Cats and Dogs),"Dental problems are very common in both dogs and cats because of the difficulty to clean their teeth. Apart from this, old age and sticky food also play a crucial role. Plaque is a colourless film which forms on the teeth and builds up over time as tartar. Since this is not removed by mechanical action like humans do, it leads to swollen, inflamed and red gums, known as gingivitis. Eventually, if this is not tackled it leads to a more serious condition known as periodontal disease, where the gums and tissue that support the teeth will be destroyed slowly and bacteria invade the gums. Stomatitis is a reaction to the plaque build up and tartar accumulation. This is more common in cats than in dogs and presents with swelling of the gum tissue, and sometimes it extends to the pharynx including the tongue.",Tartar accumulation can be visible by the naked eye as a yellow-brown film on the teeth. Swelling and redness can also be noticed which indicates either gingivitis or periodontal disease. Stomatitis is suspected when the dog or cat starts refusing food. A thorough investigation might be needed to make sure that dental problems are not due to underlying conditions such as; kidney diseases or diabetes.,";Difficulty eating ;Pain while eating ;Bad breath ;Sore mouth ;Tooth loss ;Loose teeth ;Ferocious behaviour ;Weight loss ;Yellow or brown tartar on the teeth Inflamed and red gums 
;Excessive salivation 
;Bleeding gums 
;Rubbing the mouth 
;Cats may end up with a dull and matted coat since grooming is painful",;Kidney failure ;Diabetes ;oral foreign body ;oral cancer,"Preventing dental problems is the best option, however since bacteria might be an issue, antibiotics are prescribed. ;Antibiotics such as; co-amoxiclav, doxycyline and clindamycin. Tooth extraction is another option.",";Do not worry! Dental diseases are curable. ;Support your pet through soft diets and liquids to maintain food intake. ;It is very important to schedule routine oral checkups at your veterinary and regular dental cleanings. ;Provide special pet food that helps to care for the teeth. Avoid sticky food as it sticks to the surface of the teeth and promotes the build up of plaque and tartar. ;Never use toothpaste to clean your pet’s teeth. ;Learn how to clean your pet’s teeth; Introduce the technique gradually and avoid stressing your pet. Keep session short and positive as much as possible. To start, dip your finger into beef gravy and rub against the teeth gently in a circular motion. Slowly, introduce gauze wrapped around your finger and eventually, try to introduce a soft tooth brush specially designed for pets. ;Normal dry food provides a moderate cleaning action by chewing on the kibbles."
Dermatitis (Cats and Dogs),"Skin conditions in both cats and dogs cause discomfort and irritation as a result of inflammation of the skin. There are many reasons why dermatitis can occur: ;Allergies; environmental factors such as pollen, dust and mould better known as seasonal allergies which get worse with age. Food allergies are less common than seasonal. ;Infections; bacteria can cause skin-related problems. ;Parasites; such as lice, fleas and mites can cause irritation to the skin. These can affect all type of animals; young and old, healthy and debilitated ones. ;Hormonal imbalance; both high and low.","Feline skin problems are more complicated than canine skin problems. Visual inspection doesn’t always lead to diagnosis, thus making it more difficult to determine the reason of the allergy. Seasonal allergies; scratching occurs only in 1 or 2 months out of the whole year mainly in spring and autumn. This is best to identify by undertaking skin or blood tests, but is not as reliable for cats. Food allergies; typically occur when the pet is intolerant to certain food and is itching and scratching all the time but not during certain months of the year. In this case, there is no food-allergy blood test that is reliable. In order to determine whether it is a food allergy or not it is necessary to provide a hypoallergenic or limited-ingredient diet for 2 to 3 months and then wait for the result. (This diet incorporates ingredients which the pet has never been exposed to, for example, introducing a whitefish and sweet potato diet to the dog.) If the itching does not lessen, then there is no problem with the food. Parasites; it can be very difficult to detect flea infestation on cats as during grooming most of the fleas become ingested. The only visible signs are excessive scratching and bites on your own ankle. Combing the fur of the cat using a fine-toothed comb on a sheet of white paper can make it easier to detect flea dirt present as black debris which produces a red stain when rubbed.","Licking, scratching, itching or rubbing ;Bad skin odour ;Chewing fur out ;Little black dots on the fur especially on the abdomen ;Hair loss ;Scaly or flaky patches ;Pimples, spots or red patches ;Crusts or thickened skin",N/A,"To control ticks (only dogs), fleas, lice and mosquitoes. ;Pyrethrins (natural) ;Pyrethroids; synthetic relatives of pyrethrins. Read safety label as many cannot be used in cats. Permethrin (only for dogs) Etofenprox (safe to use in cats) ;Arylheterocycles; synthetic insecticide. Fipronil ;Insect Growth Regulators; action is against the immature form and not the adult flea. Since this does not kill the adult flea, best to be combined with an adulticide. Methoprene Pyriproxyfen Fenoxycarb ;Carbamate insecticide: Methylcarbamate ;Imidacloprid (kills fleas but no activity against ticks, thus suitable for cats) ;Amitraz (use only for dogs); used as a dip to treat mange in dogs preventing the transfer from Lyme disease. ;Nitenpyram; oral flea control product. It works within 30 minutes and duration of action is 24 hours. Thus a topical application can be useful the following day. Safe to use in pregnant and nursing cats and dogs and kittens and puppies 4 weeks and older. ;Citrus extracts; Linalool d-limonene ;Synergists; used to increase the effectiveness of another ingredient in the product, for example pyrethrins. Piperonyl butoxide N-octyl bicycloheptene dicarboximide ;Sodium lauryl sulphate; natural and non-toxic flea and tick control. ;Spinosad; a derivative of a naturally occurring bacterium in the soil. To control seasonal allergies: ;Short-term or mild skin allergies; anti histamines, corticosteroids such as prednisolone, fatty acid supplements, shampoos. ;Long-term or severe skin allergies; Dogs: desensitization allergy injections (expensive treatment). Cats: antibiotics, steroids and other drugs like cyclosporine.",";Make an early check on your pet for fleas before the hot weather starts, during the warm season, even all year round in order to prevent the problem. ;As a natural remedy for fleas; Flea comb your pet twice a day, every day for months. Give a bath once weekly ;Do not use garlic or essential oils to treat external parasites. ;If you are using a pyrethroid -containing anti-flea medication, it is important to apply high on the neck and give the prescribed amount. Also, make sure to separate other cats in the same household as licking this medication may cause life threatening symptoms due to poisoning. The first signs of this are; excessive salivation, excessive twitching of the paw and vomiting. Should this occur, the pet should be taken to a veterinarian immediately. ;Avoid using sprays or dips as more effective treatment via the oral or topical route are available. ;It may be difficult to find fleas on your cats’ fur as unlike dogs cats like to eat the fleas. ;Treat all the animals in the house against fleas. If, for example, you treat your dog remember that your cat may be a reservoir of fleas. ;Treating your pet for fleas is very important as this is a very painful condition as when us humans are bitten by mosquitoes. ;Do not apply calamine lotion or bitter lemon to sooth discomfort associated with allergies and scratching."
Diabetes (Cats and Dogs),"Diabetes is a chronic disorder of carbohydrate metabolism which involves deficiency in insulin production thus a change in the blood glucose levels which can be potentially life threatening. Insulin is essential to regulate the use and storage of blood glucose thus inadequate levels in the blood circulation cause hyperglycaemia and glucosuria. This reduction in insulin levels usually occur due to damage to the pancreas. Risk factors include; ;Body condition: overweight animals have a greater predisposition ;Breed: Burmese cats and Samoyeds, miniature poodles and schnauzers and bichon frise dogs are at a higher risk ;Age: any age, however greatest over 8 years ;Gender: male cats and female dogs are more prevalent ;Stress ;Poor nutrition ;Hormonal abnormalities","Apart from the obvious signs which lead to the suspicion of diabetes, diagnostic tests are carried out to confirm the condition.",;Increased thirst ;Increased urination ;Sudden loss of weight ;Lack of energy ;Lethargy ;Vomiting ;Refusing food ;Strange and ferocious appetite ;Cataracts (in dogs) ;Abdominal pain ;Depressed,;Kidney problems ;Cancer ;Dental problems,;Insulin ;Exercise ;Proper nutrition,";Regular blood glucose monitoring is essential to adjust the dosing of the insulin according to the need. ;It is very important to keep a routine to your pet’s lifestyle. This means feeding, exercise and medication should be incorporated into a fixed daily schedule. This supports the stabilisation of blood glucose levels. ;Fibre is the golden key in managing diabetes, since fibre lower insulin requirements and blood glucose levels. ;Nutrition is very important to keep the pets’ metabolism stable. ;Keep your pet active. ;Avoid protein and carbohydrate meals, processed foods and treats, artificial colours, flavours and preservatives. ;Keep your dog on a short leash when outdoors so as to avoid the indigestion of unwanted foods and material. ;It is very important to restrict the calorie intake of your cat since diabetes is mostly associated with overweight cats."
Ear problems (Cats and Dogs),"otitis externa is the inflammation of the ear canal which may or may not involve the pinnae. It can occur either due to primary causes such as; auto-immune disease, allergy, foreign bodies, accumulation of hair and dead skin build up, parasites, etc or due to secondary causes such as medication reactions, bacteria, yeast, fungi or over cleaning. Young animals may be more predisposed to otitis externa and the most commonly affected dog breed is the cocker spaniel. otitis media is inflammation of the middle ear canal and is sometimes found together with otitis externa.","Physical examination is essential to determine the extent of pain. Redness, swelling, scaling skin or obstruction of the ear canal can all be visible. It is also important to recognise whether it is curable or chronic, since for the latter lifelong management will be required.",otitis externa ;Pain on manipulation of the ear ;Head shaking ;odour ;Exudates ;Inflammation ;Pruritus otitis media ;Vomiting ;Tilting the head ;Anorexia ;Uncoordination,N/A,";Systemic treatment is sometimes necessary since the most common cause of repeated otitis externa is undiagnosed otitis media. Antibiotics and antifungals may be prescribed. ;Topical treatment; usually consisting of antibacterial, anti yeast, corticosteroid and astringent as a combination product ;Pain and swelling managed by corticosteroids.",";If these signs are present, take your pet to a veterinarian since if left untreated it may lead to deafness. ;Ear hygiene is key in maintaining the ear healthy, however, whilst the pet is suffering from otitis externa it is important not to try and clean it yourself but to take to a veterinary surgeon. ;With the correct treatment, the otitis externa should resolve within 3 to 4 weeks, whilst for otitis media 6 weeks. ;When the ear problem resolves, you might need to clean your pet’s ear once or twice a week to prevent further attacks. This is done by using cotton balls dipped in water and wiping clean the ear lobe and the cartilage. Make sure to undertake this procedure when your pet is not going to be disturbed. ;If lifelong treatment is required, you play an important role in the management for the life of the pet. ;It is important not to discontinue treatment since the ear looks better, but to stipulate to the correct dosing schedule."
Eye Inflammation (Cats and Dogs),"Anterior uveitis, also known as the red eye syndrome, occurs when the uvea which is the part of the eye which consists of blood vessels becomes inflamed. It could threaten the animals’ vision since it also affects the iris and the surrounding pupil tissue. There are various causes including autoimmune disease, tumours, metabolic disease, trauma or injury and infections.","Eye inflammation is very easy to recognise, however, other diagnostic tests may be undertaken to eliminate any other possible causes such as; high blood pressure in the eye known as glaucoma or even cataracts.",;Discharge ;Pain ;Redness ;Excessive tears ;Swelling of the eyeball ;Pupil has an uneven shape or is small ;Front of the eye is cloudy or dull ;Change in the colour of the iris,;Topical treatment such as; drops or ointments in combination products. ;Systemic treatment is sometimes necessary for pain and inflammation.,";Take care to ensure that the living environment is well kept to avoid contracting a rare eye disease. ;Take time everyday to inspect your pets’ eye for any changes. ;It is very challenging to instil the drops or ointment in your dog’s or cat’s eye, however do not give up since the sake of going blind is in your hands.",
Gastrointestinal and Digestive disorders (Cats and Dogs),"A gastrointestinal disorder or disease - when the pet is suffering from a stomach, intestinal or any other related problem. A digestive disorder -when the passage of food through the digestive tract is altered or there is a reduction in absorption or digestion. A normal digestive process is paramount in a pet as essential nutrients and minerals are absorbed from the food that a dog or cat is fed. These are required primarily for energy and to support the repair and growth of body tissues. Any change in the gastrointestinal system can result in; malnutrition, electrolyte imbalance, dehydration and changes in acid base concentrations of the blood. Different types of Gastrointestinal and digestive disorders: ;Acute gastroenteritis; inflammation or infection or both of the stomach and intestines. This can be caused by eating high fat people food, rancid food, foreign objects or toxic plants. It can also be due to stress, food allergies or internal parasites. ;Colitis; inflammation of the colon which manifests as pain upon defecating. It is most frequently associated with tumours, change in food, swallowed foreign objects or allergies. ;Diarrhoea; results from infection, internal parasites, stress, rancid food or a change in diet. ;Constipation; mainly due to dehydration, increasing age, indigestion of hair or other foreign material and can also be due to tumours. ;Small intestinal malabsorption",Digestive disorders can be easily recognised by the simplest signs of diarrhoea and vomiting.,;Vomiting ;Regurgitation ;Diarrhoea ;Constipation (food moves through GI tract at a slow rate) ;Flatulence ;Change in appetite ;Blood in faeces ;Weight loss ;Abdominal pain ;Weakness ;Dehydration,;Cancer ;Ageing,Treatment varies according to the condition. The following are some medicines that may be used; ;Intravenous or subcutaneous fluids in extreme cases of dehydration ;Antibiotics in the presence of an infection ;oral steroids such as prednisolone in the event of inflammation,;Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately. ;offer your pet lots of fresh water to maintain hydration. ;Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible. ;Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Heart disease (Cats and Dogs),"The common heart disease mostly seen in cats is hypertrophic cardiomyopathy which affects the heart muscle. The walls of the heart thicken and eventually the heart is unable to pump out the blood efficiently throughout the body. Also the heart doesn’t fill up with a sufficient amount of blood. Eventually, this can lead to congestive heart failure with a build up of fluid in the abdomen and chest. Blood clot formation is another complication of heart disease. With increasing age and weight, there is a higher risk of developing a heart disease.","If suspected, medical tests should be carried out such as; echocardiogram, blood pressure measurement, blood and urine tests, x-rays and stethoscope exam.",;Lethargy ;Tiredness ;Reduced ability to exercise ;Swelling of the abdomen ;Difficulty breathing ;Fainting ;Weakness ;Coughing ;Increased heart and breath rate ;Sudden death,;Cancer ;Weight problems,"There is no cure, however the control of symptoms is paramount to increase the years. ;Diuretics; furosemide ;Angiotensin II converting enzyme inhibitors; benazepril, pimobendan",";Treatment will not reverse your pets’ heart disease. ;It is very important to feed your pet a healthy diet, low in sodium so that it will help to reduce the fluid build up and support the heart to work effectively. ;Exercise should not be vigorous but light. ;Weight management should be carried out more often. ;Support your pet through giving the medication daily and at the appropriate time and not how it suits you."
Anthrax,"Anthrax, a highly infectious and fatal disease of cattle, is caused by a relatively large spore-forming rectangular shaped bacterium called Bacillus anthracis. Most of the
mammals and
ruminants are
highly
susceptible.
Pigs and Horses
are moderately
susceptible.
Carnivores are
relatively
resistant.",N/A,"• Sudden death (often within 2 or 3 hours of being apparently normal) is by far the most common sign; • Very occasionally some animals may show trembling, a high temperature • Difficulty breathing, collapse and convulsions before death. This usually occurs over a period of 24 hours; • After death blood, may not clot, resulting in a small amount of bloody discharge from the nose, mouth and other openings. Convulsion and sudden
death with oozing of
blood from natural
orifices such as rectum
and nose prior to death.
occasionally oedema
develops in the throat and
shoulder over a period of
one week before death.",,"• Due to the acute nature of the disease resulting in sudden death, treatment is usually not possible in animals even though Anthrax bacilli are clines. Treatment is of use in cases showing sub-acute form of the disease. • In most cases, early treatment can cure anthrax. The cutaneous (skin) form of anthrax can be treated with common antibiotics.","• Regular annual vaccination of animals in endemic areas will prevent the disease from occurring. • Vaccination may be carried out at least a month prior to expected disease occurrence in endemic areas. • Never open a carcass of an animal suspected to have died from anthrax. Contact a veterinarian immediately if the following symptoms are seen and seek advice on control measures to be adopted. • Fever (106-108°F), loss of appetite, depression and dullness • Suspended rumination3. Rapid pulse and heart rates • Difficult breathing (dyspnoea) • Lameness in affected leg • Crepitation swelling over hip, back & shoulder • Swelling is hot & painful in early stages whereas cold and painless inter. • Recumbency (prostration) followed by death within 12-48 hrs. Ring vaccination and report
of disease is advised.
Vaccination to be done in
consultation with the
veterinarians and as decided
by state animal husbandry
authorities. Strict biosecurity
measures may be followed.
Carcass may be disposed by
deep burying covered with
lime powder. Contaminated
area may be disinfected with
4% formalin or 10% caustic
soda. Grazing area may be
restricted.Vaccination is effective, full 
protection takes 10-14 days to 
develop after administration."
