Animal Type,Breed,Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Appetite Loss,Vomiting,Diarrhea,Coughing,Labored Breathing,Lameness,Skin Lesions,Body Temperature,Heart Rate,Disease Prediction,Treatment,Advice Prevention
Dog,Labrador,4,Male,Fever,Lethargy,Appetite Loss,Vomiting,Yes,Yes,No,No,No,No,No,39.5°C,120,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,Siamese,2,Female,Coughing,Sneezing,Eye Discharge,Nasal Discharge,No,No,No,Yes,No,No,No,38.9°C,150,Upper Respiratory Infection,"Antibiotics (doxycycline or amoxicillin-clavulanate) for bacterial infections; antiviral famciclovir if herpesvirus involved. Nebulization, nasal decongestants, and nutritional support for recovery.",Vaccinate with FVRCP; isolate infected cats. Clean nasal discharge regularly; use a humidifier. Reduce stress and overcrowding. Wash hands between handling sick and healthy cats.
Cow,Holstein,3,Female,Fever,Nasal Discharge,Labored Breathing,Coughing,Yes,No,No,Yes,Yes,No,No,40.1°C,90,Foot And Mouth Disease,• the external application of antiseptics contributes to the healing of the ulcers and wards off attacks by flies. • a common and inexpensive dressing for the lesions in the feet is a mixture of coal-tar and copper sulphate in the proportion of 5:1.,• heavy milch animals and exotic breeds of cattle bred for milk should be protected regularly. • it is advisable to carry out two vaccinations at an interval of six months followed by an annual vaccination programme. • isolation and segregation of sick animals. It should be informed immediately to the veterinary doctor • disinfection of animal sheds with bleaching powder or phenol • attendants and equipment’s for sick animals should be ideally separate • the equipment’s should be thoroughly sanitized • proper disposal of left over feed by the animal • proper disposal of carcasses • control of flies
Dog,Beagle,1,Male,Diarrhea,Vomiting,Lethargy,Appetite Loss,Yes,Yes,Yes,No,No,No,No,39.2°C,130,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Persian,5,Male,Lethargy,Appetite Loss,Skin Lesions,No,Yes,No,No,No,No,No,Yes,38.7°C,160,Fungal Infection,Systemic antifungals based on fungus type: itraconazole or fluconazole for dermatophytes and yeast; terbinafine for ringworm; amphotericin B for systemic fungal infections. Topical antifungal shampoos and creams as adjuncts.,Keep skin dry and clean; treat all in-contact animals for ringworm simultaneously. Wear gloves during treatment. Disinfect environment with dilute bleach. Boost immune health through proper nutrition.
Dog,German Shepherd,3,Female,Lameness,Fever,Skin Lesions,Lethargy,Yes,No,No,No,No,Yes,Yes,39.3°C,110,Lyme Disease,Doxycycline (10 mg/kg orally once daily for 28-30 days) is the treatment of choice. Amoxicillin or azithromycin as alternatives. NSAIDs for joint pain relief. Repeat C6 antibody test at 6 months to assess response.,"Lyme disease vaccination for dogs in endemic areas. Monthly tick preventives (isoxazolines: afoxolaner, fluralaner, sarolaner). Daily tick checks and prompt removal. Avoid wooded/tall-grass areas during peak tick season."
Cat,Maine Coon,2,Male,Vomiting,Appetite Loss,Lethargy,Diarrhea,Yes,Yes,Yes,No,No,No,No,39.1°C,140,Intestinal Parasites,Specific dewormers based on parasite: fenbendazole or pyrantel pamoate for roundworms/hookworms; praziquantel for tapeworms; metronidazole or fenbendazole for Giardia. Repeat treatment after 2-3 weeks.,Routine fecal examination twice yearly; monthly broad-spectrum parasite preventives. Clean litter box daily; prevent hunting of prey animals which carry tapeworm larvae.
Dog,Bulldog,5,Male,Labored Breathing,Coughing,Nasal Discharge,Appetite Loss,Yes,No,No,Yes,Yes,No,No,40.0°C,115,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cow,Jersey,4,Female,Lethargy,Decreased Milk Yield,Fever,No,Yes,No,No,No,No,No,No,39.6°C,70,Mastitis,"Intramammary antibiotic infusion (cloxacillin, penicillin-streptomycin, or cefapirin) directly into the affected teat after complete milk-out; systemic antibiotics (penicillin, amoxicillin) for severe cases with fever. NSAIDs (flunixin meglumine) for pain and inflammation.","Implement a dry-cow therapy program; dip teats in germicidal post-milking iodine solution after every milking. Maintain clean, dry bedding; cull chronically infected cows. Regular somatic cell count monitoring of bulk milk."
Cat,Siamese,3,Female,Lethargy,Eye Discharge,Vomiting,Fever,Yes,Yes,No,No,No,No,Yes,39.0°C,130,Panleukopenia,"Intensive supportive care: IV fluids to correct dehydration, broad-spectrum antibiotics to prevent sepsis, antiemetics (maropitant), and tube feeding if anorexic. Plasma or blood transfusions for severely immunosuppressed cats.",FVRCP vaccination is core and highly protective. Isolate sick cats immediately. Decontaminate exposed areas with 1:32 bleach dilution as the virus is hardy in the environment.
